no,facility,type,jigyosyo_cd,service_cd,vacancy,capacity,waiting_count,vacancy_date,public_value,checked_at_jst,feature_http_status,detail_http_status,status,error,feature_url,detail_url
1,千代田区いきいきプラザ一番町特別養護老人ホーム,特別養護老人ホーム,1370100610-00,510,0,0,8,2025-08-07,0/0人,2026-09-21T04:06:49+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370100610-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370100610-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
2,かんだ連雀,特別養護老人ホーム,1370100651-00,510,0,0,54,2025-08-01,0/0人,2026-09-21T04:06:54+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370100651-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370100651-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
3,小規模特別養護老人ホーム ジロール麹町,特別養護老人ホーム,1390100053-00,540,0,24,,2024-12-17,0/24人,2026-09-21T04:06:56+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390100053-00&ServiceCd=540&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390100053-00&ServiceCd=540&action_kouhyou_detail_024_kihon=true
4,ザ番町ハウス,特別養護老人ホーム,1370101626-00,510,14,108,10,2023-08-11,14/108人,2026-09-21T04:06:58+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370101626-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370101626-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
5,中央区立特別養護老人ホームマイホーム新川,特別養護老人ホーム,1370201186-00,510,0,80,143,2020-11-10,0/80人,2026-09-21T04:07:01+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370201186-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370201186-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
6,中央区立特別養護老人ホームマイホームはるみ,特別養護老人ホーム,1370202218-00,510,0,0,126,2025-07-22,0/0人,2026-09-21T04:07:03+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370202218-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370202218-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
7,新とみ,特別養護老人ホーム,1370200667-00,510,0,40,150,2026-09-15,0/40人,2026-09-21T04:07:05+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370200667-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370200667-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
8,晴海苑,特別養護老人ホーム,1370201368-00,510,0,0,82,2017-07-15,0/0人,2026-09-21T04:07:07+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370201368-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370201368-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
9,地域密着型特別養護老人ホームつきしま,特別養護老人ホーム,1390200119-00,540,0,0,,2025-07-29,0/0人,2026-09-21T04:07:09+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390200119-00&ServiceCd=540&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390200119-00&ServiceCd=540&action_kouhyou_detail_024_kihon=true
10,地域密着型特別養護老人ホーム 十思,特別養護老人ホーム,1390200135-00,540,0,0,,2025-08-12,0/0人,2026-09-21T04:07:12+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390200135-00&ServiceCd=540&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390200135-00&ServiceCd=540&action_kouhyou_detail_024_kihon=true
11,地域密着型特別養護老人ホーム わとなーる桜川,特別養護老人ホーム,1390200226-00,540,0,0,,,0/0人,2026-09-21T04:07:14+09:00,200,200,ok_partial_public_value,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390200226-00&ServiceCd=540&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1390200226-00&ServiceCd=540&action_kouhyou_detail_024_kihon=true
12,港区立特別養護老人ホーム白金の森,特別養護老人ホーム,1370300277-00,510,0,0,100,2020-10-05,0/0人,2026-09-21T04:07:16+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370300277-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370300277-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
13,港区立特別養護老人ホーム港南の郷,特別養護老人ホーム,1370300327-00,510,0,0,365,2015-07-24,0/0人,2026-09-21T04:07:18+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370300327-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370300327-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
14,慶福育児会麻布慶福苑,特別養護老人ホーム,1370300293-00,510,0,100,300,2025-09-02,0/100人,2026-09-21T04:07:20+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370300293-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370300293-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
15,港区立特別養護老人ホームサン・サン赤坂,特別養護老人ホーム,1370301473-00,510,0,0,382,2025-04-04,0/0人,2026-09-21T04:07:23+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370301473-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370301473-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
16,新橋さくらの園,特別養護老人ホーム,1370302372-00,510,0,0,220,2025-07-23,0/0人,2026-09-21T04:07:25+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370302372-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370302372-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
17,ありすの杜きのこ南麻布,特別養護老人ホーム,1370303198-00,510,0,118,101,2026-09-09,0/118人,2026-09-21T04:07:27+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370303198-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370303198-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
18,洛和ヴィラ南麻布,特別養護老人ホーム,1370303206-00,510,0,100,170,2025-08-04,0/100人,2026-09-21T04:07:29+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370303206-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370303206-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
19,南麻布シニアガーデンアリス,特別養護老人ホーム,1370305151-00,510,3,80,0,2025-08-14,3/80人,2026-09-21T04:07:31+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370305151-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1370305151-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
